id anexLCA anhrLCA ancpLCA antdLCA andeLCA anpfCA anrcLCA anofLCA antgLCA anasLCA
320 2 1 1 1 1 1 1 1 1 2
321 2 1 2 1 1 1 2 2 2 2
322 1 2 1 1 1 1 1 2 2 2
323 2 2 1 1 1 2 2 2 2 2
324 2 1 1 1 1 1 1 1 1 2
325 2 1 1 1 1 1 1 2 2 2
326 2 2 1 1 1 1 2 2 2 2
327 1 1 1 1 1 1 2 2 1 2
328 1 1 1 1 1 1 2 2 1 2
329 1 2 1 1 1 1 1 2 2 2
330 1 2 1 1 1 1 2 2 1 2
331 1 2 1 1 1 1 1 2 2 1
332 1 1 1 1 1 2 1 2 2 2
333 2 1 1 2 1 2 1 2 2 2
334 2 1 1 1 1 1 1 2 2 2
335 1 2 1 1 2 1 1 2 2 2
336 2 2 1 1 1 1 2 2 1 1
337 1 1 1 1 2 1 1 2 2 2
338 2 2 1 2 1 2 1 2 2 2
339 1 1 2 1 1 1 1 1 1 1
340 2 1 2 2 2 1 2 2 2 2
341 1 1 1 2 1 1 1 2 1 2
342 2 2 1 1 1 2 1 2 1 2
343 2 1 1 1 1 2 2 2 2 2
344 2 2 1 1 1 2 1 2 2 2
345 1 1 1 1 1 1 1 2 2 2
346 1 1 1 1 1 1 2 2 1 2
347 1 1 1 1 1 1 1 2 1 2
348 1 1 1 1 1 2 2 2 2 2
349 2 2 1 1 1 2 1 2 2 2
350 1 1 2 1 1 1 1 2 2 2
351 2 1 1 1 2 2 1 2 2 2
352 2 1 1 1 1 1 1 2 1 2
353 2 1 1 1 1 1 1 1 2 1
354 2 1 1 1 1 1 1 2 2 1
355 2 1 1 1 1 1 1 2 2 2
356 1 1 1 1 1 1 1 1 1 1
357 1 2 2 2 2 1 2 2 2 2
358 1 2 1 1 2 1 2 2 1 2
359 1 2 1 1 1 1 1 2 1 2
360 2 1 1 1 1 1 1 2 1 2
361 1 1 1 1 1 1 1 2 1 2
362 1 1 1 1 1 1 1 1 2 2
363 1 2 1 1 2 2 2 2 2 2
364 2 1 1 1 1 1 1 1 2 2
365 2 1 1 1 1 1 2 2 2 2
366 2 2 1 1 1 1 1 2 2 2
367 1 1 1 1 1 1 1 2 1 2
368 1 1 1 1 1 1 1 2 1 2
369 1 2 1 1 2 1 2 2 2 2
370 1 1 1 1 1 1 1 1 2 2
371 1 1 1 1 1 1 1 2 1 2
372 2 1 1 1 1 1 1 1 2 2
373 2 1 1 1 1 1 1 2 2 2
374 1 1 2 2 1 1 2 2 1 2
375 2 1 1 1 1 1 1 2 2 1
376 1 1 1 1 1 1 1 2 1 1
377 2 1 1 1 1 1 1 2 1 2
378 1 1 1 1 1 1 1 2 1 2
379 1 2 2 2 2 1 1 2 2 2
380 1 2 1 1 1 1 2 2 1 2
381 2 1 1 1 1 1 1 2 1 2
382 2 2 1 1 1 1 1 2 2 2
383 1 2 1 1 2 2 1 2 2 2
384 2 1 1 1 2 2 1 2 2 2
385 2 1 1 1 1 2 1 2 2 2
386 2 1 1 1 1 1 2 2 2 2
387 1 1 1 1 1 1 1 1 1 2
388 2 1 1 1 1 2 1 2 2 1
389 2 2 1 1 1 1 2 2 1 2
390 1 2 1 1 2 2 2 2 2 2
391 2 1 1 1 1 2 1 2 1 2
392 1 1 1 1 1 1 1 1 1 2
393 1 1 1 1 1 1 1 2 2 2
394 1 1 1 1 1 1 2 1 2 2
395 1 1 1 1 1 1 1 2 1 2
396 1 1 1 1 1 1 1 2 2 2
397 1 1 1 2 1 1 1 2 2 2
398 1 1 2 1 2 1 1 2 2 2
399 1 1 1 1 1 1 1 1 1 2
400 1 2 1 2 1 1 2 2 2 2
401 2 2 1 1 2 1 1 2 2 2
402 1 1 1 1 1 1 1 2 1 2
403 1 2 1 2 1 2 1 2 2 2
404 1 1 1 1 1 2 1 2 1 2
405 2 1 1 1 1 1 1 2 1 2
406 1 2 1 2 2 1 1 2 1 2
407 1 1 1 1 1 1 1 2 1 1
408 1 1 1 1 1 1 1 2 1 2
409 2 1 1 1 1 1 2 1 1 2
410 2 1 2 1 1 1 1 2 2 2
411 2 1 1 1 1 1 1 2 1 2
412 2 1 1 1 1 1 2 2 2 2
413 1 1 1 1 1 1 1 2 2 2
414 1 1 1 2 1 1 2 2 2 2
415 2 1 1 1 1 1 1 1 1 2
416 1 1 1 1 1 1 1 2 2 2
417 1 1 1 1 1 1 1 2 2 2
418 1 1 1 1 1 1 1 2 1 2
419 1 2 1 1 1 1 1 2 1 2
420 2 1 1 1 1 1 1 1 2 2
421 2 2 1 1 1 1 1 2 2 2
422 1 1 2 1 1 1 1 2 1 1
423 2 1 1 1 1 1 1 2 2 2
424 2 2 1 1 1 2 2 2 1 2
425 2 1 1 1 1 1 1 2 2 2
426 1 1 1 1 1 1 1 2 1 2
427 1 1 1 2 1 1 1 1 2 2
428 1 1 1 1 1 1 1 2 1 1
429 1 1 1 1 1 1 1 2 1 2
430 1 1 1 1 1 1 1 2 2 2
431 2 1 1 1 1 1 1 1 1 2
432 2 1 1 1 1 1 1 2 2 1
433 1 1 1 1 1 1 1 2 1 1
434 2 2 1 1 2 2 2 2 2 2
435 2 1 1 1 1 1 2 2 2 2
436 2 1 2 1 1 1 2 2 2 2
437 1 1 1 1 1 1 1 1 1 1
438 2 1 1 1 1 2 2 2 2 2
439 1 1 1 1 1 1 1 2 2 2
440 1 1 1 1 1 1 1 2 1 1
441 2 1 1 1 1 1 1 2 1 2
442 2 1 1 1 1 1 2 2 1 1
443 1 2 1 1 1 2 1 2 1 2
444 2 2 1 1 1 1 1 2 2 2
445 1 1 1 1 1 2 1 1 1 1
446 1 2 1 1 1 1 2 1 1 2
447 1 1 1 1 1 1 1 2 1 1
448 2 2 1 1 1 2 1 2 1 2
449 2 2 1 2 1 1 2 2 2 2
450 1 1 1 1 1 1 1 2 1 2
451 1 2 2 1 1 1 2 2 2 2
452 2 1 1 1 1 1 1 1 1 2
453 1 1 1 1 1 1 1 2 1 2
454 1 1 1 1 1 1 1 2 2 2
455 1 2 1 1 1 1 1 2 1 2
456 1 1 1 1 2 1 1 1 2 2
457 1 1 1 1 1 1 1 1 2 2
458 1 1 1 1 1 1 1 2 2 2
459 2 1 1 1 1 1 1 1 1 1
460 1 1 1 1 1 1 1 2 1 2
461 1 1 1 1 1 1 1 2 1 2
462 1 1 1 1 1 1 1 1 2 2
463 1 1 1 1 1 1 1 2 1 2
464 1 1 1 1 1 1 1 1 2 2
465 1 2 1 2 1 2 2 2 1 2
466 2 2 1 1 1 2 1 2 2 2
467 1 1 1 1 1 1 1 1 2 2
468 2 2 1 1 1 1 1 2 2 2
469 2 2 1 1 2 2 2 2 2 2
470 2 2 1 1 2 1 1 2 2 2
471 2 1 1 1 1 1 1 1 1 2
472 1 1 1 1 1 2 1 2 1 2
473 2 1 1 1 1 1 1 1 1 2
474 2 2 1 1 1 2 1 2 2 2
475 2 1 1 1 1 1 1 2 2 2
476 2 1 1 1 1 1 2 2 2 2
477 2 2 1 1 1 1 2 2 2 2
478 2 1 1 1 1 1 1 1 1 2
479 1 1 1 1 1 1 1 1 1 2
480 1 1 1 1 1 1 2 2 1 2
481 2 1 1 1 1 1 1 2 1 2
482 2 1 1 1 1 1 1 2 1 2
483 2 1 1 1 2 1 1 2 2 2
484 2 1 1 1 1 1 1 2 1 2
485 2 1 1 1 1 1 1 2 1 2
486 2 1 2 1 1 1 1 2 2 2
487 2 1 1 1 1 1 1 2 2 2
488 2 1 1 1 1 1 1 2 1 2
489 2 1 1 1 1 1 1 1 2 2
490 2 1 1 1 1 1 1 2 1 2
491 2 2 1 1 1 1 1 2 1 2
492 2 2 1 1 1 2 1 2 2 2
493 2 1 1 1 1 1 2 2 2 2
494 2 1 1 1 1 1 2 2 2 2
495 2 1 1 2 1 2 2 2 2 2
496 2 1 1 1 1 1 1 2 1 2
497 1 1 1 1 1 1 1 1 1 2
498 2 2 1 2 2 2 2 1 2 2
499 2 1 1 2 1 2 1 2 2 2
500 2 1 2 1 1 1 1 2 2 2
501 1 1 1 1 1 1 2 2 2 2
502 2 1 1 1 1 1 1 1 1 2
503 2 1 1 1 1 1 1 2 1 2
504 2 1 1 1 1 2 1 2 2 1
505 2 2 1 1 2 1 2 2 2 2
506 1 2 1 1 1 1 1 1 1 2
507 2 2 1 1 1 1 2 2 2 2
508 1 1 1 1 1 1 2 2 1 2
509 2 1 1 1 1 1 1 2 1 2
510 1 1 1 1 1 1 1 1 2 1
511 1 2 1 1 1 1 1 2 2 2
512 1 1 1 1 1 1 1 1 1 2
513 2 1 2 1 1 1 1 2 1 2
514 1 1 1 1 1 1 1 1 1 2
515 2 1 1 1 1 1 2 2 1 2
516 2 1 1 1 1 1 1 2 1 2
517 2 1 1 1 1 1 1 1 1 1
518 1 1 1 1 1 1 1 2 1 1
519 2 1 1 2 1 1 1 2 2 2
520 1 2 2 1 1 2 2 2 2 2
521 2 1 2 2 2 2 2 2 2 2
522 2 1 1 2 2 2 1 2 2 2
523 1 1 1 1 1 2 1 1 1 2
524 2 1 1 1 2 1 1 2 2 2
525 2 2 2 1 1 1 1 2 2 2
526 2 2 1 1 1 1 1 2 1 2
527 1 1 1 1 1 1 1 1 1 2
528 2 2 1 1 1 2 1 2 2 2
529 2 2 1 1 1 1 2 1 2 2
530 2 1 1 1 1 1 1 2 2 1
531 1 1 1 1 2 1 1 2 2 2
532 1 1 1 1 1 1 1 2 1 2
533 2 1 1 1 1 1 1 2 2 1
534 1 2 1 2 1 2 1 2 2 2
535 2 1 1 1 1 1 1 2 2 1
536 2 2 1 1 1 2 2 2 2 2
537 1 1 1 1 1 1 1 1 1 2
538 2 1 1 1 2 2 2 2 2 2
539 1 1 1 1 1 1 1 1 2 2
540 2 2 1 1 2 2 1 2 2 2
541 2 1 1 1 2 1 1 2 2 2
542 1 1 1 1 1 1 1 1 1 2
543 2 1 2 1 1 1 1 1 1 2
544 1 1 1 1 1 1 1 1 2 1
545 1 1 1 1 1 1 2 1 1 1
546 2 1 1 1 1 1 1 2 1 2
547 1 2 1 1 1 1 2 2 2 2
548 1 1 1 1 1 1 1 1 2 2
549 2 1 1 1 1 1 1 2 2 2
550 1 1 1 1 1 1 1 2 2 2
551 2 1 1 1 1 1 1 2 1 2
552 2 1 2 1 1 2 1 2 2 2
553 1 1 1 1 1 1 1 2 2 2
554 1 1 1 1 1 1 1 1 1 2
555 2 1 1 2 1 1 1 1 1 2
556 1 1 1 1 1 1 1 2 1 2
557 2 1 1 1 1 1 1 2 2 2
558 1 1 1 1 1 1 1 1 1 2
559 2 2 1 1 1 1 1 1 2 1
560 2 1 1 1 1 1 2 2 2 1
561 1 1 1 1 1 1 2 2 2 2
562 1 2 1 2 1 1 1 2 2 2
563 2 2 1 1 1 1 1 2 1 2
564 2 1 1 1 1 1 1 2 1 2
565 1 1 1 1 1 1 1 1 1 2
566 2 1 1 1 1 2 1 2 2 2
567 1 1 1 1 1 1 1 2 1 2
568 2 1 1 1 1 1 1 2 2 2
569 2 1 1 1 1 1 1 2 2 2
570 2 1 1 1 1 1 2 1 2 2
571 1 2 1 2 1 1 2 2 2 2
572 2 1 1 1 1 1 2 2 1 2
573 2 1 1 1 1 1 2 2 1 2
574 1 1 1 1 1 1 2 2 1 2
575 1 1 2 1 1 1 1 1 2 1
576 1 1 1 1 1 1 1 1 2 2
577 2 2 1 1 1 1 1 2 1 2
578 1 1 1 1 1 1 1 1 1 2
579 1 2 1 1 1 1 1 2 2 2
580 2 1 1 2 1 1 1 2 2 2
581 2 1 1 1 1 1 1 2 2 2
582 1 1 1 1 1 1 1 1 1 2
583 2 2 1 1 1 1 1 1 2 2
584 2 1 1 1 1 1 2 1 2 2
585 2 1 1 1 2 2 2 2 2 2
586 2 1 1 1 2 2 2 2 2 2
587 2 1 1 1 1 1 1 2 1 2
588 2 1 1 2 1 1 1 2 2 2
589 1 2 1 1 1 1 2 2 2 2
590 1 1 2 1 1 1 1 2 1 2
591 1 2 1 1 1 1 1 2 2 1
592 2 1 1 1 2 1 2 2 2 2
593 2 1 1 1 1 1 1 2 2 2
594 1 1 1 1 1 1 1 2 1 1
595 1 2 1 1 2 2 1 2 2 2
596 1 1 1 1 1 1 1 1 2 2
597 2 2 1 1 1 1 1 2 2 2
598 1 2 1 1 1 2 1 2 2 2
599 2 1 1 1 1 1 1 2 2 2
600 2 1 1 1 1 1 1 1 1 2
601 2 2 1 2 1 1 1 2 2 2
602 1 2 1 1 1 1 1 2 2 2
603 1 1 1 1 1 1 1 2 2 2
604 2 1 1 1 1 1 1 2 1 2
605 2 2 1 1 1 1 2 2 2 2
606 2 2 1 1 1 1 1 2 2 2
607 2 1 1 1 1 1 1 2 2 2
608 2 1 1 1 1 1 1 2 2 2
609 1 1 1 1 1 1 1 2 1 2
610 2 1 1 1 2 1 2 2 2 2
611 2 1 1 1 1 1 1 2 2 2
612 1 1 1 1 1 1 1 2 2 2
613 1 1 1 1 1 1 1 1 1 2
614 1 1 1 1 1 1 1 1 2 2
615 2 2 1 1 1 1 1 2 2 2
616 2 1 1 1 1 1 1 2 2 2
617 1 1 1 1 1 1 1 2 2 1
618 2 1 1 1 1 2 2 2 2 2
619 1 1 1 1 1 1 1 2 2 1
620 1 2 1 1 1 1 1 2 1 2
621 1 2 1 1 1 1 2 1 1 2
622 1 1 1 2 2 1 1 2 2 2
623 2 1 1 1 1 1 1 2 2 2
624 2 2 1 1 1 2 2 2 2 2
